Key,Type,Desc,English,Chinese (Simplified),Afrikaans,Amharic ,Arabic,Azerbaijani,Belarusian,Bulgarian [bg],Bangla [bn],Catalan,Czech,Danish,German [de-DE],Greek,Spanish (Spain),Spanish (United States) [es-US],Estonian,Basque [eu-ES],Persian,Finnish,French (Canada),French (France),Galician [gl-ES],Gujarati,Hebrew,Hindi,Croatian,Hungarian,Armenian,Indonesian,Icelandic,Italian [it-IT],Japanese,Georgian,Kazakh,Khmer,Kannada,Korean,Kyrgyz (Cyrillic) [ky],Lao,Lithuanian,Latvian,Macedonian (FYROM) [mk],Malayalam,Mongolian,Marathi,Malay,Malay (Malaysia),Burmese,Norwegian,Nepali,Dutch [nl-NL],Punjabi,Polish,Portuguese (Brazil),Portuguese (Portugal),Romanian,Russian,Sinhala,Slovak,Slovenian,Albanian,Serbian,Swedish [sv-SE],Swahili,Tamil,Telugu,Thai,Tagalog,Turkish,Ukrainian,Urdu,Vietnamese,Chinese (Hong Kong),Chinese (Traditional),Zulu
S_LevelTips_Des_level_21,Text,,It's too noisy ! ?,噪音扰民？！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_22,Text,,"Though unseen , it exists .",看不见的存在。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_23,Text,,How to go to next level?,如何前往下一关？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_24,Text,,The water resistance is way too strong ! ?,水的阻力太强了？！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_25,Text,,"Swiper, no swiping .",捣蛋鬼别捣蛋！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_26,Text,,"""Unity""","""团结""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_26_01,Text,,is strength !,就是力量！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_27,Text,,Disguise Master .,伪装大师。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_28,Text,,Power up ! ?,获得能力？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_28_01,Text,,Double jump !,二段跳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_28_02,Text,,Speed up !,加速,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_28_03,Text,,Triple jump !,三段跳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_28_04,Text,,Leap forward !,向前跃进！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_29,Text,,Run away !,跑起来！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_30,Text,,Fake products .,冒牌货。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_31,Text,,Stand and deliver !,此山是我开！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_32,Text,,To the moon .,去月球。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_33,Text,,Lucky Time !,幸运时刻！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_34,Text,,Unreliable button .,不靠谱的按钮。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_35,Text,,Find the largest number .,找出最大的数字。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_36,Text,,Follow the rules .,请遵守交规。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37,Text,,I'm not a robot.,我不是机器人。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37_01,Text,,Select all items with,选中所有包含下列的区域,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37_02,Text,,VERIFY,验证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37_03,Text,,traffic lights,交通灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37_04,Text,,bicycles,自行车,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37_05,Text,,cars,小汽车,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37_06,Text,,reCAPTCHA,人机验证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37_07,Text,,I'm not a robot.,我不是机器人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37_08,Text,,Click to begin verification.,点击按钮开始验证,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_37_09,Text,,Veriftication Success !,验证成功,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_38,Text,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_39,Text,,The fan is too powerful ! ,这风扇真有力气。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_40,Text,,"Turn to another Spinning Wheel . 
And turn to . . . ","来到另一个抽奖转盘。
然后来到哪里呢？",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_40_2,Text,,Turn to another page !,来到下一页！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_41,Text,,Find the right way to go II. ,又得找到对的路 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_41_1,Text,,"OKay . 
This is the Right Way !",好，这就对了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_42,Text,,Stop the balloon !,让气球暂停！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_52,Text,,Make some fire in an old-school way !,用一种神秘的远古之力来生火。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_999,Text,,"Coming soon...
Stay tuned for the new adventure !","即将推出...
敬请期待新的冒险！",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_01,Text,,Enter the door to pass the level .,进入门内通过关卡。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_02,Text,,"First obtain the key to unlock, then enter the door.",首先获得解锁的钥匙，然后进入门内。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_03,Text,,"Push the box , 
then step on the box to jump onto the platform .",推动箱子，然后踩上箱子，跳上平台。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_04,Text,,Quickly and continuously tap (click) the door several times .,快速连续点击（单击）门几次。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_05,Text,,Cut the rope.,剪断绳子。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_06,Text,,The password is 3421 .,密码是3421。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_07,Text,,Drag the box to a high position and then drop it .,将箱子拖到高处然后释放。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_08,Text,,Directly drag the lock away .,直接移开锁。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_09,Text,,You secretly learnt double jump in this level .,这次，你偷学了梯云纵，可以二段跳啦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_10,Text,,"At the first cliff, jump down .",跳下第一个悬崖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_11,Text,,Tap to pop the balloon .,点击以刺破气球。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_12,Text,,"Drag any of top-left button or ""Jump"" to create stepping stones.",拖动任意左上角的按钮或跳跃按钮来制造垫脚石。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_13,Text,,Walk to the right .,向又（右）走。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_14,Text,,Press and hold one side of the fountain with your finger to increase the water pressure on the other side .,用手指按住一边喷泉，让另一边水压更大,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_15,Text,,Tap the traffic light multiple times to destroy it !,连续点击红绿灯来摧毁它！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_16,Text,,Drag the jump button upward to reveal the dive button hidden .,向上拖动跳跃键，揭开向下键的面纱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_17,Text,,"Tap to open the initial door, then let the dog enter this door.",点击打开你来时的门，然后让狗狗进去！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_18,Text,,"After obtaining the yellow key, go directly to open the door instead of opening the 
treasure chest . ",找到黄色钥匙后直接去开门，别贪心下一个宝箱哟！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_19,Text,,The floor can be dragged .,可以拖动地面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_20,Text,,Press and hold the door that mimics you to stop its movement .,用手指按住那个模仿你的门！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_21,Text,,Turn off the sound and sound effects in the pause menu .,在暂停菜单中关闭声音和音效。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_22,Text,,There are hidden bricks to step on at the starting position of the second cliff .,第二处悬崖前有隐形的砖块踏板。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_23,Text,,"Tap the ""next level"" text to proceed to the next level .",点击“下一关”文字进入下一关。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_24,Text,,"Drag the ""right"" button to the right then drag the pipe plug away !",向右拖动右行键，然后拖开木塞放水！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_25,Text,,Move off-screen to attack the swiper from behind !,走出屏幕，然后从后面偷袭那个捣蛋鬼！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_26,Text,,Drag the first half of the hint text to the big dog .,拖动文本内容“团结” 去撞击恶犬。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_27,Text,,Tap the door to disguise yourself as a door .,轻触门以伪装成门。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_28,Text,,Avoid touching any upgrade items at the beginning to gain infinite jumps .,不用想着获得能力来“提升”自己了，你本来就能一直无限连跳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_29,Text,,Drag the door under the saw .,将门移动到锯子下方。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_30,Text,,Drag the wings to the position of the door lock .,将翅膀拖动到门锁那里。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_31,Text,,"Jump infinitely into the sky to knock down the 
rich person .",无限跳向天空以击倒富有的人。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_32,Text,,"Drag the ""level card"" above the spring to prevent flying .",将左上方的“关卡提示版”拖动到弹簧上方以阻止自由飞行。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_33,Text,,Rotate the arrow on the wheel to the key position before drawing a prize .,在抽取奖品前将轮盘上的箭头旋转到钥匙位置。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_34,Text,,"Drag the floor upward .
You will see the buttons that fell down .",向上拖动地板，然后你会看到刚掉下去的按钮。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_35,Text,,"Drag pairs of numbers together then also drag the number on the ""level card"" together .",将数字两两拖到一起，然后将左上“关卡提示版”上的数字也拖到一起。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_36,Text,,Stop moving when the traffic light is red .,红灯停，绿灯行。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_37,Text,,Also select the text content above all pictures.,同样要选择图片之上的文本内容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_38,Text,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_39,Text,,"Swipe left, then tap the switch.",向左划，然后点击开关。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_40,Text,,Turn the page from the bottom-right corner of the screen,揭开屏幕右下角的书页。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_41,Text,,"Drag the first two platform, use them to get higher.
then move right, jump down, and head left .",拖动前两个平台，利用平台到高处。然后向右，跳下，最后向左进门,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_42,Text,,Tap the pause button to stop the balloon's movement .,按下暂停按钮来让气球暂停。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_43,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_answer_Des_level_44,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
